INFO 2019-04-23 06:03:19,018 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,027 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,037 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,044 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,050 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,053 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,069 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,435 basehttp 124 "GET /register2 HTTP/1.1" 200 4542
INFO 2019-04-23 06:03:19,478 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,487 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,489 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,492 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,494 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,510 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,544 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,909 basehttp 124 "GET /register2 HTTP/1.1" 200 4542
INFO 2019-04-23 06:03:19,942 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,945 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,954 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,956 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,971 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,976 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:19,988 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 06:03:20,337 basehttp 124 "GET /register2 HTTP/1.1" 200 4542
INFO 2019-04-23 06:03:20,372 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:20,380 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:20,383 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:20,387 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:20,388 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:20,395 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 06:03:20,423 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:38,329 basehttp 124 "GET /register2 HTTP/1.1" 200 4542
INFO 2019-04-23 06:03:38,362 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:38,368 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:38,374 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:38,376 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:38,386 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:38,393 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:38,420 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 06:03:39,554 basehttp 124 "GET /register2 HTTP/1.1" 200 4547
INFO 2019-04-23 06:03:39,586 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:39,588 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:39,598 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:39,601 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:39,601 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:39,621 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:39,623 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 06:03:39,918 basehttp 124 "GET /register2 HTTP/1.1" 200 4547
INFO 2019-04-23 06:03:39,951 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:39,953 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 06:03:39,956 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:39,958 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:39,964 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 06:03:39,985 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 06:03:40,009 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
